village,village.crossref,market.name,market.crossref
mbao,ntungwa,221,mbao
mbao,ntungwa,mbao,mbao
mbaragane,lalago,lalago,lalago
mbuga,iputi,iputi,iputi
mbuyuni,mbuyuni,mbuyuni,mbuyuni
mbuyuni17,mbuyuni,mbuyuni,mbuyuni
mchauru,mchauru,mchauru,mchauru
milola,mavimba,mavimba,mavimba
minawa,manawa,misasi,misasi
mindola,lamaiti,lamaiti,lamaiti
minepa,minepa,minepa,minepa
minyagala,minyagala,minyagala,minyagala
minyagala,minyagala,sebwesa,sibwesa
minyagala,minyagala,sibwesa,sibwesa
miomboni,miyomboni,mnunuzi,mofu
miomboni,miyomboni,mofu,mofu
misasi,manawa,misasi,misasi
miyagala,minyagala,sibwesa,sibwesa
miyomboni,miyomboni,mofu,mofu
mkonywa,mkonywa,4,mkonywa
mnadani,lalago,lalago,lalago
mnavira,mnavira,mnavira,mnavira
mnjagala,minyagala,sibwesa,sibwesa
mnkola,mnkola,mnko,mnkola
mnkola,mnkola,mnkola,mnkola
mnkola,mnkola,mnkolah,mnkola
mnkola,mnkola,mnunuzi,mnkola
mnkolah,mnkola,mnkola,mnkola
mnyagala,minyagala,mnyagala,minyagala
mnyagala,minyagala,sibwesa,sibwesa
mpandang.ombe,lalago,lalago,lalago
mpona,kilyamatundu,kilyamatundu,kilyamatundu
mpunguzi,mpunguzi,mpunguz,mpunguzi
mpunguzi,mpunguzi,mpunguzi,mpunguzi
msisi,msisi,msisi,msisi
mtandi,mtandi.b,mtandi,mtandi
mtandi.b,mtandi.b,36,mtandi
mtandi.b,mtandi.b,mtandi,mtandi
mtandi.b,mtandi.b,mtandi.b,mtandi
mtenga,isunta,isunta,isunta
mufindi,ihowanza,ihowanza,ihowanza
muhesi,muhesi,muhesi,muhesi
muhuwesi,muhuwesi,muhuwesi,muhuwesi
mumbaka,mumbaka,166,mumbaka
mumbaka,mumbaka,mumbaka,mumbaka
mundemu,mundemu,mundemu,mundemu
muungano,muungano,muungano,muungano
muze,muze,muz3,muze
muze,muze,muze,muze
muze1,muze,muze,muze
mwakidiga,lalago,lalago,lalago
mwakiloba,mwasamba,mwasamba,mwasamba
mwamalalala,mwamapalala,mwamaplala,mwamapalala
mwamapalal,mwamapalala,mwamapalala,mwamapalala
mwamapalala,mwamapalala,mwamapalal,mwamapalala
mwamapalala,mwamapalala,mwamapalala,mwamapalala
mwamapalala,mwamapalala,mwapalala,mwamapalala
mwamapalalal,mwamapalala,mwamapalala,mwamapalala
mwamaplala,mwamapalala,mwamapalala,mwamapalala
mwamashindike,lalago,lalago,lalago
mwamigongwa,mwasamba,mwasamba,mwasamba
mwampalala,mwamapalala,mwamapalala,mwamapalala
mwandete,lalago,lalago,lalago
mwangika,mwasamba,mwasamba,mwasamba
mwapalala,mwamapalala,mwamapalala,mwamapalala
mwasamba,mwasamba,chabutwa,mwasamba
mwasamba,mwasamba,mwasamba,mwasamba
mwassamba,mwasamba,mwasamba,mwasamba
mwavala,imalilosongwe,imalilosongwe,imalilosongwe
mwogozo,mwongozo,nangoo,nangoo
mwongozo,mwongozo,nangoo,nangoo
mzia,mziha,mzia,mziha
mziha,mziha,mziha,mziha
na.upanga,upanga,nangaya,nangaya
nagaga,nagaga,nagaga,namalenga
nagaga,nagaga,nalemanga,namalenga
nagaga,nagaga,namalenga,namalenga
nakarara,nakarara,makong.onda,makong.onda
namhanga,namhanga,mbeja,mbenja
namhanga,namhanga,mbenja,mbenja
namhanga,namhanga,namhanga,mbenja
namuhanga,namhanga,mbeja,mbenja
namuhanga,namhanga,mbenja,mbenja
namwawala,namwawala,namwawala,namwawala
nangwala,nangwala,nangwala,nangwala
nanjo88,nanjota,nanjota,nanjota
nanjota,nanjota,nacnjota,nanjota
nanjota,nanjota,nanjota,nanjota
nanjota,nanjota,nanjots,nanjota
nantamila,ntalamila,ntalamila,ntalamila
ndagalu,ndagalu,kabali,kabila
ndagalu,ndagalu,kabila,kabila
ndagalu,ndagalu,kabo,kabila
ndagalu,ndagalu,ndagalu,kabila
ndomoni,ndomoni,ndomoni,ndomoni
ngalaiwe,igangwe,shaurimoyo,shauri.moyo
njiwa,itete,itete,itete
njiwa.jui,itete,itete,itete
njiwa.juu,itete,ite,itete
njiwa.juu,itete,itete,itete
njiwa.juu,itete,itte,itete
